,Date,Visa,Master
234,2009-02-23,-0.025332375,-0.034364853
235,2009-02-24,0.038709677000000005,0.056953729
236,2009-02-25,-0.016503993,0.008061078000000001
237,2009-02-26,0.011548178000000001,-0.042258778
238,2009-02-27,0.01159472,0.014964676000000001
239,2009-03-02,-0.044965615,-0.046826552
240,2009-03-03,0.003692762,0.002522671
241,2009-03-04,0.017108168,-0.003509635
242,2009-03-05,-0.033821668,-0.023657629
243,2009-03-06,-0.060464246,-0.030492785
244,2009-03-09,-0.007770472,0.0
245,2009-03-10,0.061646585999999996,0.042403819
246,2009-03-11,-0.028371477000000003,-0.004310345
247,2009-03-12,0.052949192,0.062432427
248,2009-03-13,-0.03771492,0.007894505
249,2009-03-16,0.002305476,-0.029183248
250,2009-03-17,0.059804485,0.056542391
251,2009-03-18,0.018448182,-0.016196576
252,2009-03-19,-0.06428698299999999,-0.035367699999999995
253,2009-03-20,-0.0030366290000000003,0.009279623
254,2009-03-23,0.05730059,0.04732206
255,2009-03-24,-0.03492978,-6.14e-05
256,2009-03-25,-0.015858208999999998,0.010130156999999999
257,2009-03-26,0.052132701,0.032516866
258,2009-03-27,-0.022522523,-0.014186485
259,2009-03-30,-0.013824885,-0.026392787
260,2009-03-31,0.039252336,0.02716958
261,2009-04-01,-0.023561151000000002,-0.04418438
262,2009-04-02,0.023945478,0.034857571000000004
263,2009-04-03,0.080769923,0.05064590099999999
264,2009-04-06,-0.01581225,-0.014478598
265,2009-04-07,-0.03348554,-0.033638489
266,2009-04-08,0.011723535,0.009471586
267,2009-04-09,0.016776202,0.030658041
268,2009-04-13,0.039462494,0.020874346000000002
269,2009-04-14,-0.045491736,-0.056571567
270,2009-04-15,0.013372193000000001,-0.0038531
271,2009-04-16,-0.017594316000000002,-0.022724585
272,2009-04-17,-0.001205442,0.008410637
273,2009-04-20,-0.051724137999999996,-0.068747639
274,2009-04-21,0.066,0.082449715
275,2009-04-22,-0.019102848000000002,-0.021901807000000002
276,2009-04-23,0.012519562,0.027865895
277,2009-04-24,0.036922549,0.047443268
278,2009-04-27,-0.025008281,-0.043561153
279,2009-04-28,0.031255307999999996,0.012020477
280,2009-04-29,0.046120903,0.063686407
281,2009-04-30,0.02283105,0.029403455
282,2009-05-01,0.000769704,-0.057508912999999995
283,2009-05-04,0.049069374000000006,0.03522279
284,2009-05-05,-0.011876833,0.02469406
285,2009-05-06,-0.017806796,0.000108991
286,2009-05-07,-0.009971295,-0.014446873999999998
287,2009-05-08,0.04425454,0.023785817
288,2009-05-11,-0.036533684,-0.022152582999999997
289,2009-05-12,-0.010768996999999999,-0.015360813000000001
290,2009-05-13,-0.01149954,-0.041750898
291,2009-05-14,0.000775555,0.015167605
292,2009-05-15,0.008524489,-0.001269166
293,2009-05-18,0.020593207,0.001559464
294,2009-05-19,-0.024243337,-0.038465919
295,2009-05-20,0.0024691360000000002,0.017393391
296,2009-05-21,0.020320196999999998,0.012144078
297,2009-05-22,-0.007996379,-0.019395422
298,2009-05-26,0.015513308,0.0014849129999999998
299,2009-05-27,-0.012730268000000001,-0.007294941
300,2009-05-28,0.008798544,0.028259051
301,2009-05-29,0.018195489,0.024519203
302,2009-06-01,-0.015507311000000001,-0.01474508
303,2009-06-02,0.002250225,-0.030737351
304,2009-06-03,0.021254303,-0.005226023
305,2009-06-04,0.018906639,0.005313116
306,2009-06-05,-0.003452244,-0.004275535
307,2009-06-08,0.007505774000000001,-0.010197936999999999
308,2009-06-09,-0.016762178,0.013315599
309,2009-06-10,0.009325368,0.032227496
310,2009-06-11,-0.036812473,-0.021025402000000002
